市区町村コード,区分,No.,都道府県名,市区町村名,名称,名称＿カナ,所在地,緯度,経度,電話番号,URL,備考
432113,宇土市指定記念物,1,熊本県,宇土市,放牛地蔵,ホウギュウジゾウ,熊本県宇土市松原町,32.69638,130.66428,ー,ー,
432113,宇土市指定史跡,2,熊本県,宇土市,宇土城跡（城山）,ウトジョウアト（シロヤマ）,熊本県宇土市神馬町２８０,32.67932,130.65319,ー,https://www.city.uto.lg.jp/museum/article/view/46/305.html,
432113,宇土市指定史跡,3,熊本県,宇土市,梅崎古墳,ウメザキコフン,熊本県宇土市笹原町,32.70327,130.61088,ー,ー,
432113,宇土市指定史跡,4,熊本県,宇土市,温知館跡,オンチカンアト,熊本県宇土市新小路町,32.68447,130.66147,ー,https://www.city.uto.lg.jp/museum/article/view/46/303.html,
432113,宇土市指定史跡,5,熊本県,宇土市,片山中良の墓,カタヤマナカラノハカ,熊本県宇土市神合町,ー,ー,ー,ー,
432113,宇土市指定史跡,6,熊本県,宇土市,寛政の津波供養碑,カンセイノツナミクヨウヒ,熊本県宇土市戸口町,32.66729,130.54422,ー,https://www.city.uto.lg.jp/museum/article/view/46/302.html,
432113,宇土市指定史跡,7,熊本県,宇土市,草野蒲川の墓,クサノガマガワ,熊本県宇土市古城町,ー,ー,ー,ー,
432113,宇土市指定史跡,8,熊本県,宇土市,草野石瀬の墓,クサノサキライノハカ,熊本県宇土市古城町,ー,ー,ー,ー,
432113,宇土市指定史跡,9,熊本県,宇土市,小部田横穴墓群,コベタヨコアナボグン,熊本県宇土市住吉町２４８２,32.70279,130.58911,ー,https://www.city.uto.lg.jp/museum/article/view/46/341.html,
432113,宇土市指定史跡,10,熊本県,宇土市,小松古墳,コマツコフン,熊本県宇土市長浜町,32.67844,130.55677,ー,ー,
432113,宇土市指定史跡,11,熊本県,宇土市,境目遺跡,サカイメイセキ,熊本県宇土市境目町,32.67594,130.67417,ー,https://www.city.uto.lg.jp/museum/article/view/46/340.html,
432113,宇土市指定史跡,12,熊本県,宇土市,迫の上古墳,サコノウエコフン,熊本県宇土市神合町迫の上,32.66861,130.64572,ー,ー,
432113,宇土市指定史跡,13,熊本県,宇土市,城塚町尾上横穴古墳群,ジョウヅカマチオノウエヨコアナコフングン,熊本県宇土市城塚町,32.69372,130.61777,ー,ー,
432113,宇土市指定史跡,14,熊本県,宇土市,城二号墳,ジョウニゴウフン,熊本県宇土市上網田町,32.67525,130.55484,ー,https://www.city.uto.lg.jp/museum/article/view/46/339.html,
432113,宇土市指定史跡,15,熊本県,宇土市,不知火諾右門の墓,シラヌイダクエモンノハカ,熊本県宇土市栗崎町４７５,32.67278,130.65139,ー,https://www.city.uto.lg.jp/museum/article/view/46/299.html,
432113,宇土市指定史跡,16,熊本県,宇土市,住吉公園,スミヨシコウエン,熊本県宇土市住吉町,32.70830.,130.59077,ー,ー,
432113,宇土市指定史跡,17,熊本県,宇土市,スリバチ山古墳,スリバチヤマコフン,熊本県宇土市神合町水谷,ー,ー,ー,ー,
432113,宇土市指定史跡,18,熊本県,宇土市,千体仏,センタイブツ,熊本県宇土市城塚町尾上４３９,32.69262,130.61846,0964-22-6500,https://www.city.uto.lg.jp/museum/article/view/46/333.html,
432113,宇土市指定史跡,19,熊本県,宇土市,宗福寺跡,ソウフクジアト,熊本県宇土市椿原町,32.68616,130.6415,ー,https://www.city.uto.lg.jp/museum/article/view/46/353.html,
432113,宇土市指定史跡,20,熊本県,宇土市,曽畑貝塚,ソバタカイヅカ,熊本県宇土市岩古曽町,32.68206,130.68379,ー,https://www.city.uto.lg.jp/museum/article/view/46/338.html,
432113,宇土市指定史跡,21,熊本県,宇土市,泰雲寺跡,タイウンジアト,熊本県宇土市宮庄町,32.67779,130.63724,ー,https://www.city.uto.lg.jp/museum/article/view/46/296.html,
432113,宇土市指定史跡,22,熊本県,宇土市,立岡自然公園,タチオカシゼンコウエン,熊本県宇土市花園町,32.67699,130.69773,0964-22-1119,ー,
432113,宇土市指定史跡,23,熊本県,宇土市,長福寺跡薬師堂,チョウフクジアトヤクシドウ,熊本県宇土市下網田町,32.66349,130.55843,ー,https://www.city.uto.lg.jp/museum/article/view/46/351.html,
432113,宇土市指定史跡,24,熊本県,宇土市,椿原古墳,ツバワラコフン,熊本県宇土市恵塚町,32.68503,130.63797,ー,https://www.city.uto.lg.jp/museum/article/view/46/336.html,
432113,宇土市指定史跡,25,熊本県,宇土市,寺尾勝信の墓,テラオカツノブノハカ,熊本県宇土市松山町,32.66876,130.67797,ー,ー,
432113,宇土市指定史跡,26,熊本県,宇土市,天神山古墳,テンジンヤマコフン,熊本県宇土市野鶴町,32.69178,130.63178,ー,https://www.city.uto.lg.jp/museum/article/view/46/335.html,
432113,宇土市指定史跡,28,熊本県,宇土市,轟水源地及び樋管,トドロキスイゲンオヨビヒカン,熊本県宇土市,ー,ー,ー,https://www.city.uto.lg.jp/museum/article/view/46/295.html,
432113,宇土市指定史跡,29,熊本県,宇土市,如来寺遺跡,ニョライジイセキ,熊本県宇土市花園町,32.67626,130.70585,ー,https://www.city.uto.lg.jp/museum/article/view/46/349.html,
432113,宇土市指定史跡,30,熊本県,宇土市,芭蕉塚,バショウヅカ,熊本県宇土市石小路町,32.68827,130.66444,ー,ー,
432113,宇土市指定史跡,31,熊本県,宇土市,晩免古墳,バンメンコフン,熊本県宇土市立岡町６０７,32.67432,130.68765,ー,https://www.city.uto.lg.jp/museum/article/view/46/327.html,
432113,宇土市指定史跡,32,熊本県,宇土市,帆足道偵の墓,ホアシミチサダノハカ,熊本県宇土市神合町,32.674,130.67055,ー,ー,
432113,宇土市指定史跡,33,熊本県,宇土市,細川家墓地,ホソカワケボチ,熊本県宇土市宮庄町,32.67768,130.63633,ー,https://www.city.uto.lg.jp/museum/article/view/46/291.html,
432113,宇土市指定史跡,34,熊本県,宇土市,堀内氏善の墓,ホリウチウジヨシノハカ,熊本県宇土市石橋町631,3267746,130.63946,ー,,
432113,宇土市指定史跡,35,熊本県,宇土市,向野田古墳,ムコウノダコフン,熊本県宇土市松山町３９９３,32.66322,130.67374,ー,https://www.city.uto.lg.jp/museum/article/view/46/317.html,
432113,宇土市指定史跡,36,熊本県,宇土市,明治天皇御野立所跡,メイジテンノウオノダテショアト,熊本県宇土市松山町,32.67424,130.67024,ー,ー,
432113,宇土市指定史跡,37,熊本県,宇土市,ヤツボシ塚古墳,ヤツボシヅカコフン,熊本県宇土市上網田町,32.67674,130.55926,ー,https://www.city.uto.lg.jp/museum/article/view/46/315.html,
432113,宇土市指定史跡,38,熊本県,宇土市,山川青山の墓,ヤマカワアオヤマノハカ,熊本県宇土市椿原町,ー,ー,ー,ー,
432113,宇土市指定史跡,39,熊本県,宇土市,遊目台,ユウモクダイ,熊本県宇土市宮庄町,32.67266,130.63583,ー,ー,
