都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
222143,,静岡県,藤枝市,若王子古墳群,ニャクオウジコフングン,,,県指定史跡,,,静岡県藤枝市若王子1015（蓮華寺池公園内）,,,,,,1,,,藤枝市,1995-03-20,,,,,,,,,標高110mの尾根上に、長さ160ｍにわたって28基の古墳が連なっている。４～5世紀の木棺直葬墳(もっかんじきそうふん)が中心で、一辺10～18mの円墳または方墳である。古墳時代の前期後半～中期の群集墳は県内では珍しいが、志太平野にはいくつかあり、この地域の特徴である。なかでも若王子古墳群は、志太平野を見渡す絶好の位置にあり、中央政権とのつながりを示す車輪石(しゃりんせき)（石製の腕輪）が出土するなど、当時の有力者が埋葬されてたと考えられる。,,,
222143,,静岡県,藤枝市,久遠の松,クオンノマツ,,,県指定天然記念物,,,静岡県藤枝市藤枝四丁目2-7,,,,,,1,,,大慶寺,1955-02-25,,,,,,,,,大慶寺境内にあるクロマツの大樹。今から700年前、日蓮上人が比叡山で学んだ帰りに、この地に立ち寄り、記念に一本の松を植えたという。これが久遠のマツで、名前は法華経の中にある「久遠却（くおんごう）」という言葉に由来し、未来永久に仏の道が栄えること祈念して植えたといわれる。（根廻7.0m　目通4.5m　樹高25.0m　枝張：東西28.0m・南北28.4m）,,,
222143,,静岡県,藤枝市,若一王子神社の社叢,ニャクイチオウジジンジャノシャソウ,,,県指定天然記念物,,,静岡県藤枝市若王子73,,,,,,1,,,若一王子神社,1956-05-24,,,,,,,,,この神社の裏山境内地の森が社叢となっていて、ヤマモガシ、ミミズバイ、イチイガシ、カンザブロウノキ等の照葉樹木があり、これら暖地性植物が自生する北限地として重要である。若一王子神社縁起によると、源義家が後三年の役（1083～1087）の時、ここを通過した際に詠んだ「松に花　咲く藤枝の一王子　宮居ゆたかに　いく千代をへん」という歌が残されており、藤枝という地名の由来になったともいわれている。,,,
222143,,静岡県,藤枝市,須賀神社の楠,スガジンジャノクス,,,県指定天然記念物,,,静岡県藤枝市水守3丁目2-11,,,,,,1,,,須賀神社,1958-09-02,,,,,,,,,東海道に接した須賀神社の御神木である。このクスは、樹高や根廻が優れていて、樹勢も旺盛で枝張りも良い。クスノキは、暖地に自生する常緑高木で、芳香がある。樹皮は横に細かい割れ目ができ、葉は楕円形で先が急にとがっている。５月頃、白から黄色をおびる小さな花が咲き、実が10～11月頃になる。（根廻15.2m　目通10.9m　樹高23.7m　枝張：東西21.2m・南北27.9m）,,,
222143,,静岡県,藤枝市,鼻崎の大杉,ハナサキノオオスギ,,,県指定天然記念物,,,静岡県藤枝市瀬戸ノ谷10026,,,,,,1,,,高根白山神社,1961-03-28,,,,,,,,,高根白山神社の参道入口の脇に立ち参拝者にその威容を誇る。根廻が太いことでは県下一である。スギは、スギ科に属する代表的な常緑高木である。まっすぐな幹が特徴で大きなものは高さ50m以上に達し、日本の樹木中最大になるという。樹皮は赤褐色の繊維質で、縦に長く裂ける。（根廻14.5m　目通8.0m　樹高27.5m　枝張：東西27.6m・南北26.5m）,,,
222143,,静岡県,藤枝市,高根神社の杉,タカネジンジャノスギ,,,県指定天然記念物,,,静岡県藤枝市瀬戸ノ谷9964,,,,,,1,,,高根白山神社,1961-03-28,,,,,,,,,高根白山神社の本殿裏山の斜面にあり、御神木として今日まで守られてきた。樹高の点では県下でも有数のものである。周囲にはスギの大木が多数あり、神社の森を形成している。（根廻8.7m　目通7.2m　樹高47.2m　枝張：東西19.0m・南北20.0m）,,,
222143,,静岡県,藤枝市,芋穴所の丸樫,イモアナドノマルカシ,,,県指定天然記念物,,,静岡県藤枝市瀬戸ノ谷9441-1,,,,,,1,,,高根白山神社,1962-02-27,,,,,,,,,このマルカシは、材の赤いアカガシの一種で、根廻が県下一を誇り、樹勢も良好。高根山の北方へ延びる稜線上にあって、丸く樹枝を張る姿を遠くから望むことができる。カシは、ブナ科に属する暖地性の常緑高木である。葉は光沢があり質厚く、互生（交互に一枚ずつ方向を異に）する。5月頃花をつけ、10月頃実が成熟する。（根廻10.5m　目通5.5m　樹高17.0m　枝張：東西26.7m・南北25.0m）,,,
222143,,静岡県,藤枝市,万年寺のカヤ,バンネンジノカヤ,,,県指定天然記念物,,,静岡県藤枝市岡部町新舟1232,,,,,,1,,,万年寺,1978-10-20,,,,,,,,,玉露の里から朝比奈川を挟んで対岸にある万年寺境内にそびえている。標高60mほどの丘陵尾根上にあるため、遠くからでもその姿を望むことができる。根元から少し上で幹は二つに分かれており、傷みはあるが樹勢は盛んである。（根廻8.0m　目通5.8m　樹高30.0m　枝張：東西30.0m・南北25.0m）,,,
222143,,静岡県,藤枝市,高根白山神社古代神楽,タカネハクサンジンジャコダイカグラ,,,県指定無形民俗文化財;記録作成等の措置を講ずべき無形の民俗文化財,,,静岡県藤枝市瀬戸ノ谷9964,,,,,,1,,,保存会,1968-03-19,,,,,,,,,毎年10月29日に、高根白山神社の拝殿で奉納される12演目の神事芸能である。舞人は１～5人の成人男性で、衣装は烏帽子(えぼし)に狩衣(かりぎぬ)・袴を基本とし、採物(とりもの)は、幣（へい）・鈴・太刀などで、演目により天狗や翁などの面をつける。舞庭となる拝殿の天井には注連縄(しめなわ)が張り巡らされ、五色の幣と金銀の切り紙が飾り付けられる。四方を拝しながら舞い進む構成（本来は東西南北と中央の五方位）と、五色の採物は陰陽五行(いんようごぎょう)思想を表している。「湯立(ゆだて)の舞」を伝えることから、伊勢流の湯立神楽の流れをくむものであることがわかる。演目の内容、舞の構成、天井飾り、笛と太鼓の音曲などは、県内中部地方の山間部（おもに藁科川・安倍川・大井川の上流域）にひろく分布する神楽に共通する特徴をもち、地域間の交流をうかがわせる。,,,
222143,,静岡県,藤枝市,滝沢八坂神社の田遊び,タキサワヤサカジンジャノタアソビ,,,県指定無形民俗文化財;記録作成等の措置を講ずべき無形の民俗文化財,,,静岡県藤枝市滝沢1320,,,,,,1,,,保存会,1974-04-18,,,,,,,,,田遊びは、一年の初めにその年の豊作を祈って奉納される神事芸能で、農作業を模した演目を中心に19演目がおこなわれる。舞庭は、本殿と拝殿の間で、四隅に榊の枝（または竹）を立て注連縄で結界される。舞人は、成人男性と、小学生の男児で、衣装は、大人は白装束、子供は絣（かすり）の着物である。演目は、「田打ち」・「田植」・「稲刈り」などの農作業を表現するものと、「薙刀（なぎなた）」・「白刃（しらは）」・「九字（くじ）」など修験道（しゅげんどう）系のもの、「筏（いかだ）」「耕作散田」など能・狂言系のものなど多彩である。特に注目されるのは「孕早乙女(はらみさおとめ)」で、早乙女役は赤子にみたてた木製の人形（タロッコ＝稲の精霊）を生み、農夫役がこれを見つけて喜びのしぐさをする。滝沢で伝承する田遊びに特徴的な、他所ではみられない演目である。毎年2月17日に奉納されてきたが、現在ではこの日に近い土曜日に行われる。,,,
