指定等,区分,種別,名称,所有者,所在地,指定年月日,公開情報,備考,NO,区,緯度,経度
国指定,有形,建造物,方広寺七尊菩薩堂,方広寺,浜名区引佐町奥山,1954-09-17,公開,,1,浜名区,,
国指定,有形,建造物,中村家住宅　附　家相図,浜松市,中央区雄踏町宇布見,1973-06-02,条件付き公開,展示状況による（中村家住宅）,2,中央区,,
国指定,有形,建造物,宝林寺　仏殿・方丈,宝林寺,浜名区細江町中川,1981-06-05,公開,,3,浜名区,,
国指定,有形,建造物,浜名惣社神明宮本殿,浜名惣社神明宮,浜名区三ヶ日町三ヶ日,1993-04-20,公開,,4,浜名区,,
国指定,有形,建造物,鈴木家住宅　主屋・釜屋,個人,浜名区引佐町的場,2007-06-18,公開,令和3年3月～令和4年11月頃工事臨時休館,5,浜名区,,
国指定,有形,絵画,絹本著色普賢十羅刹女像,大福寺,浜名区三ヶ日町福長,1900-04-07,条件付き公開,展示状況による,6,浜名区,,
国指定,有形,彫刻,木造千手観音立像,摩訶耶寺,浜名区三ヶ日町摩訶耶,1915-03-26,条件付き公開,展示状況による,7,浜名区,,
国指定,有形,彫刻,木造不動明王立像,摩訶耶寺,浜名区三ヶ日町摩訶耶,1923-03-28,条件付き公開,展示状況による,8,浜名区,,
国指定,有形,彫刻,木造地蔵菩薩立像　附　像内納入品,岩水寺,浜名区根堅,2011-06-27,非公開,秘仏,9,浜名区,,
国指定,有形,彫刻,木造釈迦如来及両脇侍坐像,方広寺,浜名区引佐町奥山,2014-08-21,条件付き公開,展示状況による,10,浜名区,,
国指定,有形,工芸品,太刀　銘安縄（備前）,秋葉神社,天竜区春野町領家,1922-04-13,条件付き公開,展示状況による,11,天竜区,,
国指定,有形,工芸品,太刀　銘弘次,秋葉神社,天竜区春野町領家,1923-03-28,条件付き公開,展示状況による,12,天竜区,,
国指定,有形,工芸品,太刀　銘来国光,秋葉神社,天竜区春野町領家,1923-03-28,条件付き公開,展示状況による,13,天竜区,,
国指定,有形,工芸品,太刀　銘国綱,井伊谷宮,東京都台東区,1925-04-24,条件付き公開,展示状況による（東京国立博物館）,14,,,
国指定,有形,工芸品,太刀　久國,個人,中央区西伊場町,1950-08-29,非公開,,15,中央区,,
国指定,有形,工芸品,刺繍不動明王二童子像掛幅,浜松市,中央区松城町,1950-08-29,条件付き公開,展示状況による（浜松市美術館）,16,中央区,,
国指定,有形,工芸品,紫地段花菱円文散草花模様縫箔小袖,平野美術館,中央区元浜町,1960-06-09,条件付き公開,展示状況による,17,中央区,,
国指定,有形,工芸品,金銅装笈,大福寺,浜名区三ヶ日町福長,1979-06-06,条件付き公開,展示状況による,18,浜名区,,
国指定,有形,典籍,宋版錦繍萬花谷,龍潭寺,浜名区引佐町井伊谷,1978-06-15,条件付き公開,展示状況による,19,浜名区,,
国指定,有形,古文書,紙本墨書瑠璃山年録残篇,大福寺,浜名区三ヶ日町福長,1905-04-04,条件付き公開,展示状況による,20,浜名区,,
国指定,民俗,無形,西浦の田楽,西浦田楽保存会,天竜区水窪町奥領家,1976-05-04,条件付き公開,開催状況による,21,天竜区,,
国指定,民俗,無形,遠江のひよんどりとおくない,（各保存会）,浜名区引佐町他,1994-12-13,条件付き公開,開催状況による,22,浜名区,,
国指定,記念物,史跡,三岳城跡,静岡県他,浜名区引佐町三岳他,1944-03-07,公開,,23,浜名区,,
