全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL_1,画像_2,画像ライセンス,備考_3
222119,BB00000001,静岡県磐田市,遠江国分寺跡,トオトウミコクブンジアト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000002,静岡県磐田市,銚子塚古墳附小銚子塚古墳,チョウシヅカコフンツケタリコチョウシヅカコフン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000003,静岡県磐田市,旧見付学校附磐田文庫,キュウミツケガッコウツケタリイワタブンコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000004,静岡県磐田市,新豊院山古墳群,シンポウインヤマコフングン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000005,静岡県磐田市,御厨古墳群,ミクリヤコフングン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000006,静岡県磐田市,熊野の長フジ,ユヤノナガフジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000007,静岡県磐田市,見付天神裸祭,ミツケテンジンハダカマツリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000008,静岡県磐田市,静岡県明ヶ島古墳群出土土製品 附 土製品残欠,シズオカケンミョウガジマコフングンシュツドドセイヒンツケタリドセイヒンザンケツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000009,静岡県磐田市,静岡県立磐田農業高等学校記念館,シズオカケンリツイワタノウギョウコウトウガッコウキネンカン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000010,静岡県磐田市,大箸家住宅主屋,オオハシケジュウタクオモヤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000011,静岡県磐田市,大箸家住宅北土蔵,オオハシケジュウタクキタドゾウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000012,静岡県磐田市,大箸家住宅南土蔵,オオハシケジュウタクミナミドゾウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000013,静岡県磐田市,大箸家住宅納屋,オオハシケジュウタクナヤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000014,静岡県磐田市,大箸家住宅井戸小屋,オオハシケジュウタクイドゴヤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000015,静岡県磐田市,大箸家住宅外塀,オオハシケジュウタクソトベイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000016,静岡県磐田市,大箸家住宅内塀,オオハシケジュウタクウチベイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
