全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
223069,0000000001,静岡県西伊豆町,堂ヶ島天窓洞,ドウガシマテンソウドウ,,,天然記念物,,,223069,,,,,,,,138.460915,34.464573,,,,,,,,,1,帯,,西伊豆町,1935-08-27,,,,,,,,,"この天窓洞は、海食によって作られたもので白い凝灰岩（安山岩質）からできている。
一帯は低い半島状をなし、その地下は蜂の巣のように海食洞があり、その構造は複雑で、断層は明瞭である。洞の内部は、二本の横穴からできていて、西口、南口、東口がある。東口の開口部が国道136号線に面し、長さ147mに達する。
中央付近は、天井が大きく抜けて天窓をなし、差し込む光によって海水はエメラルドグリーンにそまる。
この海食洞窟は、観光船が出入りでき、奇勝を鑑賞することができる。",,,
223069,0000000002,静岡県西伊豆町,伊豆西南海岸,イズセイナンカイガン,,,名勝,,,223069,,,,,,,,,,,,,,,,,,1,帯,,"西伊豆町
松崎町
南伊豆町",1937-06-15,,,,,,,,,"田子港の弁天島から石廊崎を経て南伊豆町の盥（タライ）岬に至る海岸一帯は風景、地質ともに貴重であり、伊豆随一のジオサイトとしても注目をあびている。
特に堂ヶ島海岸は凝灰岩から成る海食海岸で岩上に松樹が茂り島々の間に静かな海湾ができており、伊豆西南海岸の中で美しい景勝地である。",,,
223069,0000000003,静岡県西伊豆町,木造・釈迦、薬師、阿弥陀如来座像,モクゾウ・シャカ、ヤクシ、アミダニョライザゾウ,,,重要文化財,美術工芸品,仁科・堂ヶ島薬師堂,223069,,,,,,,,138.461215,34.464885,,,,,,,,,3,体,,浜連合区,1954-01-30,,,,,,,,,"堂ヶ島薬師堂に安置されている、釈迦、薬師、阿弥陀の三体の如来坐像は、仏像内部の記録によると天正22年（1594）9月鎌倉仏師伊予の作とされている。作られた年月日が記されている仏像は少なく、仏像を研究する上でも貴重である。
桧材の寄木造で表面には金箔が貼られている。如来三尊を並べて安置しているのは珍しい。素朴で地方的色彩の強い個性的な創作である。昭和51年（176）から3年にわたって修理した。",,,
223069,0000000004,静岡県西伊豆町,釣燈篭,ツリトウロウ,,,重要文化財,美術工芸品,宇久須神社,223069,,静岡県賀茂郡西伊豆町宇久須1269-1,静岡県,西伊豆町,宇久須,1269-1,,138.474031,34.504062,,,,,,,,,1,基,,宇久須神社,1967-10-11,,,,,,,,,"慶長14年（1609）11月、当時の伊豆金山奉行大久保石見守が鉱山の隆昌を祈願して宇久須神社に奉納した。青銅板に鍍金(ときん)したもので形状は六角形である。中央の唐草透彫の上に上り藤の定紋を打ち出し、下方及び上方の庇(ひさし)に宝珠を刻み優美で精巧を極めた作品である。
高さ　    53cm
火袋の径　24.2cm
台座の径　30.3cm
重さ    　5.5kg",,,
223069,0000000005,静岡県西伊豆町,人形三番叟,ニンギョウサンバソウ,,,重要無形民俗文化財,芸能,宇久須・牛越神社,223069,,静岡県賀茂郡西伊豆町宇久須302,静岡県,西伊豆町,宇久須,302,,138.463594,34.503569,,,,,,,,,1,式,,浜区,1969-05-30,,,,,,,,,"古くからふるさとの繁栄を願って浜の牛越神社に奉納し続けてきた人形劇。この三番叟は21人の役付きにより構成され、翁、千歳、三番叟の人形をそれぞれ3人で操り、謡、鼓、笛、太鼓の調子に乗って演ずるもので文楽に似たものである。
11月2日は宵祭りで「見せ」といい「日の入り三番」という。3日は本祭りで奉納三番叟「御納」を上演、「日の出三番叟」という。",,,
223069,0000000006,静岡県西伊豆町,仁科の人形三番叟,ニシナノニンギョウサンバソウ,,,重要無形民俗文化財,芸能,仁科・佐波神社,223069,,静岡県賀茂郡西伊豆町仁科1870-1,静岡県,西伊豆町,仁科,1870-1,,138.462523,34.462642,,,,,,,,,1,式,,浜連合区,1972-03-20,,,,,,,,,"文政8年（1825）佐波神社社殿の大改修を祝って奉納されたのが初演とされる。大久保石見守長安が金山奉行となった慶長の頃から、伊豆地方の神社において能を奉納したという。
人形を使う三番叟は、子浦、佐波神社、宇久須、内浦と海名野の神明神社である。佐波神社では演者28人（人形師9人、演奏10人、地謡8人、影1人）、浜区共導社が受け継ぎ、毎年11月2日（日の入り三番）11月3日（日の出三番）として上演されてきたが、現在は浜連合区が受け継ぎ、貴重な郷土芸能の一つとなっている。",,,
223069,0000000007,静岡県西伊豆町,中・神明神社式三番叟,ナカ・シンメイジンジャシキサンバソウ,,,重要無形民俗文化財,芸能,中・海名野,223069,,静岡県賀茂郡西伊豆町中574,静岡県,西伊豆町,中,574,,138.473703,34.461379,,,,,,,,,1,式,,勇義社,2017-03-24,,,,,,,,,"神明神社の式三番叟は、江戸時代中期の享保年間（1716～1735）に奉納したと伝えられている。
日時　11月2日（日の入り三番）
11月3日（日の出三番）
演目　千歳の舞、翁の舞、春の舞、鈴の舞
演技　千歳と翁は、1人で人形を操り、謡と鼓を中心の囃子で次々に舞う。尉は「頭使い」と「足使い」の2人で操り、囃子は、笛、太鼓、鼓、影を中心に春の舞を舞い、鈴の舞は左手使いが加わり3人で舞う。勇義社が伝承している。",,,
223069,0000000008,静岡県西伊豆町,永明寺のイチョウ,ヨウメイジノイチョウ,,,天然記念物,,永明寺,223069,,静岡県賀茂郡西伊豆町宇久須1324,静岡県,西伊豆町,宇久須,1324,,138.47482,34.503952,,,,,,,,,1,本,,永明寺,1968-07-02,,,,,,,,,"大久須の永明寺の山門をくぐると大きなイチョウの木がある。大きさは根回り10m、目通り5.2m、樹高25.5m、枝張東西14m、南北15mある。特徴として乳状下垂根が数多くあり、大きなものは長さ3mもある。
永明寺には子安地蔵大菩薩が祀られており、いわゆる「子安講」が形成され、この下垂根による子安の信仰は安産を願うための祈りの対象とされていた。
樹齢は500年～600年と推定されている。
",,,
223069,0000000009,静岡県西伊豆町,瀬浜海岸のトンボロ,セバマカイガンノトンボロ,,,天然記念物,,仁科・瀬浜海岸,223069,,,,,,,,138.455836,34.465679,,,,,,,,,1,帯,,西伊豆町,1983-09-27,,,,,,,,,"堂ヶ島の北方、海岸から200m離れた伝兵衛島（三四郎島の一つで象島とも呼ぶ）は、干潮時になると、海岸との間にトンボロ（Tombolo）が現れて陸繋島となり、当地では、瀬浜と呼ばれている。
砂州は、大小の石からなっている。これは島によって沖からくる波が弱められ、屈折し、両側から同じ力の静かな波が寄せ合って、間に洲を作り上げたものである。
国道136号線沿いから眼下に一望することができ、干潮時には砂州を通って伝兵衛島に渡ることもできる。砂州の長さ約220m、幅（干潮時の最大）約40m。",,,
223069,0000000010,静岡県西伊豆町,黄金崎のプロピライト,コガネザキノプロピライト,,,天然記念物,,安良里・小磯,223069,,,,,,,,138.454797,N34.502120,,,,,,,,,1,箇所,,西伊豆町,1988-03-18,,,,,,,,,"西伊豆は夕陽が素晴らしい。
特に黄金崎は三島由紀夫の小説にもあるように、海岸の岩壁に夕陽があたると黄金色に染まり、とても美しい。海に突き出た岩は馬にそっくりで、観光客を喜ばせてくれる。さらに晴れた日には、遠く富士山も見ることができる。
　黄金色に輝く岩壁の秘密はその岩石にある。この付近には大きな火山がいくつもあり、地下深い所にあった安山岩が、マグマに温められた熱水の影響を長い間受け続けたため変質したものである。その後の隆起、浸食で今の姿、黄褐色の岩肌となり、この黄褐色の安山岩に夕陽が当たると赤みが増し，黄金色に輝くのである。",,,
